timestamp,sensor_1,sensor_2,failure
2023-01-01 00:00:00,49.67,102.00,0
2023-01-01 01:00:00,50.23,98.45,0
2023-01-01 02:00:00,54.12,110.34,0
2023-01-01 03:00:00,56.78,116.50,1
2023-01-01 04:00:00,48.90,99.12,0
2023-01-01 05:00:00,51.34,101.23,0
2023-01-01 06:00:00,53.45,105.67,0
2023-01-01 07:00:00,57.89,118.90,1
2023-01-01 08:00:00,49.56,97.45,0
2023-01-01 09:00:00,50.78,100.12,0
2023-01-01 10:00:00,52.34,103.45,0
2023-01-01 11:00:00,55.67,115.78,1
2023-01-01 12:00:00,48.90,98.34,0
2023-01-01 13:00:00,51.23,102.56,0
2023-01-01 14:00:00,54.78,109.45,0
2023-01-01 15:00:00,58.90,120.34,1
2023-01-01 16:00:00,49.12,96.78,0
2023-01-01 17:00:00,50.45,99.90,0
2023-01-01 18:00:00,53.67,104.12,0
2023-01-01 19:00:00,57.12,117.45,1
2023-01-01 20:00:00,48.78,97.89,0
2023-01-01 21:00:00,51.56,101.23,0
2023-01-01 22:00:00,55.34,113.45,1
2023-01-01 23:00:00,49.90,99.12,0
2023-02-01 00:00:00,52.45,105.67,0
2023-02-01 01:00:00,54.12,108.90,0
2023-02-01 02:00:00,58.34,121.23,1
2023-02-01 03:00:00,49.56,97.45,0
2023-02-01 04:00:00,50.78,100.12,0
2023-02-01 05:00:00,53.45,104.56,0
2023-02-01 06:00:00,57.89,119.78,1
2023-02-01 07:00:00,48.90,98.34,0
2023-02-01 08:00:00,51.23,102.56,0
2023-02-01 09:00:00,54.78,110.45,0
2023-02-01 10:00:00,58.90,122.34,1
2023-02-01 11:00:00,49.12,96.78,0
2023-02-01 12:00:00,50.45,99.90,0
2023-02-01 13:00:00,53.67,104.12,0
2023-02-01 14:00:00,57.12,117.45,1
2023-02-01 15:00:00,48.78,97.89,0
2023-02-01 16:00:00,51.56,101.23,0
2023-02-01 17:00:00,55.34,113.45,1
2023-02-01 18:00:00,49.90,99.12,0
2023-02-01 19:00:00,52.45,105.67,0
2023-02-01 20:00:00,54.12,108.90,0
2023-02-01 21:00:00,58.34,121.23,1
2023-02-01 22:00:00,49.56,97.45,0
2023-02-01 23:00:00,50.78,100.12,0
2023-02-02 00:00:00,53.45,104.56,0
2023-02-02 01:00:00,57.89,119.78,1
2023-02-02 02:00:00,48.90,98.34,0
2023-02-02 03:00:00,51.23,102.56,0
2023-02-02 04:00:00,54.78,110.45,0
2023-02-02 05:00:00,58.90,122.34,1
2023-02-02 06:00:00,49.12,96.78,0
2023-02-02 07:00:00,50.45,99.90,0
2023-02-02 08:00:00,53.67,104.12,0
2023-02-02 09:00:00,57.12,117.45,1
2023-02-02 10:00:00,48.78,97.89,0
2023-02-02 11:00:00,51.56,101.23,0
2023-02-02 12:00:00,55.34,113.45,1
2023-02-02 13:00:00,49.90,99.12,0
2023-02-02 14:00:00,52.45,105.67,0
2023-02-02 15:00:00,54.12,108.90,0
2023-02-02 16:00:00,58.34,121.23,1
2023-02-02 17:00:00,49.56,97.45,0
2023-02-02 18:00:00,50.78,100.12,0
2023-02-02 19:00:00,53.45,104.56,0
2023-02-02 20:00:00,57.89,119.78,1
2023-02-02 21:00:00,48.90,98.34,0
2023-02-02 22:00:00,51.23,102.56,0
2023-02-02 23:00:00,54.78,110.45,0
2023-02-03 00:00:00,58.90,122.34,1
2023-02-03 01:00:00,49.12,96.78,0
2023-02-03 02:00:00,50.45,99.90,0
2023-02-03 03:00:00,53.67,104.12,0
2023-02-03 04:00:00,57.12,117.45,1
2023-02-03 05:00:00,48.78,97.89,0
2023-02-03 06:00:00,51.56,101.23,0
2023-02-03 07:00:00,55.34,113.45,1
2023-02-03 08:00:00,49.90,99.12,0
2023-02-03 09:00:00,52.45,105.67,0
2023-02-03 10:00:00,54.12,108.90,0
2023-02-03 11:00:00,58.34,121.23,1
2023-02-03 12:00:00,49.56,97.45,0
2023-02-03 13:00:00,50.78,100.12,0
2023-02-03 14:00:00,53.45,104.56,0
2023-02-03 15:00:00,57.89,119.78,1
2023-02-03 16:00:00,48.90,98.34,0
2023-02-03 17:00:00,51.23,102.56,0
2023-02-03 18:00:00,54.78,110.45,0
2023-02-03 19:00:00,58.90,122.34,1
2023-02-03 20:00:00,49.12,96.78,0
2023-02-03 21:00:00,50.45,99.90,0
2023-02-03 22:00:00,53.67,104.12,0
2023-02-03 23:00:00,57.12,117.45,1
2023-02-04 00:00:00,48.78,97.89,0
2023-02-04 01:00:00,51.56,101.23,0
2023-02-04 02:00:00,55.34,113.45,1
2023-02-04 03:00:00,49.90,99.12,0
2023-02-04 04:00:00,52.45,105.67,0
2023-02-04 05:00:00,54.12,108.90,0
2023-02-04 06:00:00,58.34,121.23,1
2023-02-04 07:00:00,49.56,97.45,0
2023-02-04 08:00:00,50.78,100.12,0
2023-02-04 09:00:00,53.45,104.56,0
2023-02-04 10:00:00,57.89,119.78,1
2023-02-04 11:00:00,48.90,98.34,0
2023-02-04 12:00:00,51.23,102.56,0
2023-02-04 13:00:00,54.78,110.45,0
2023-02-04 14:00:00,58.90,122.34,1
2023-02-04 15:00:00,49.12,96.78,0
2023-02-04 16:00:00,50.45,99.90,0
2023-02-04 17:00:00,53.67,104.12,0
2023-02-04 18:00:00,57.12,117.45,1
2023-02-04 19:00:00,48.78,97.89,0
2023-02-04 20:00:00,51.56,101.23,0
2023-02-04 21:00:00,55.34,113.45,1
2023-02-04 22:00:00,49.90,99.12,0
2023-02-04 23:00:00,52.45,105.67,0
